FACTOR	METHOD	OBSERVED VS PREDICTED BIAS SCORE (OBS)	METHOD AUC / TC AUC
NFE2	HINT-BC	0.563238926177	1.1161384575819
NFYA	HINT-BC	0.4442794763	1.09676927540976
NFYB	HINT-BC	0.39409043756	1.17142605620295
NR2F2	HINT-BC	0.592578609471	1.14598392792793
NRF1	HINT-BC	0.358511386411	1.30541140162384
PU1	HINT-BC	0.560204927134	1.29359475759946
RAD21	HINT-BC	0.146943213521	1.14138879029939
REST	HINT-BC	0.610249613624	1.34059786755896
RFX5	HINT-BC	0.5817831067	1.14393803316962
SIX5	HINT-BC	0.631474006345	1.07641780567907
SMC3	HINT-BC	0.162677324475	1.21348926181804
SP1	HINT-BC	0.431213014296	1.08728918865585
SP2	HINT-BC	0.632100986497	1.09101400502492
SRF	HINT-BC	0.736995307761	1.16971141155928
STAT1	HINT-BC	0.530256300528	1.07714925628539
STAT2	HINT-BC	0.85211703434	1.14091348097683
STAT5A	HINT-BC	0.639081002969	1.11630340341673
TAL1	HINT-BC	0.655570417059	1.13908001638375
THAP1	HINT-BC	0.676301280561	1.04759828385752
TR4	HINT-BC	0.679182194593	1.10661963721976
USF1	HINT-BC	0.587444376029	1.18999195236506
USF2	HINT-BC	0.526198069526	1.05410371055724
YY1	HINT-BC	0.720753283229	1.0447969288285
ZBTB33	HINT-BC	0.469969486229	1.30823347514656
ZBTB7A	HINT-BC	0.905862807171	1.13808082388854
ZNF143	HINT-BC	0.661591891414	1.09341721837204
ZNF263	HINT-BC	0.828219568556	1.3554458230181
ATF3	HINT-BCN	0.60464540015	1.09437081871261
BACH1	HINT-BCN	0.786930672381	1.40354674433272
BRCA1	HINT-BCN	0.494134260188	1.01542979210449
CEBPB	HINT-BCN	0.770830153102	1.30272022194844
CTCF	HINT-BCN	0.32251716358	1.52741248881928
EGR1	HINT-BCN	0.749282409459	1.46404461040335
FOSL1	HINT-BCN	0.682479958608	1.08988720797358
GABP	HINT-BCN	0.534467733279	1.24783621203264
JUN	HINT-BCN	0.761913346455	1.09955982210417
JUND	HINT-BCN	0.807218901808	1.30603001515612
MAFK	HINT-BCN	0.786973676151	1.45387845804292
MAX	HINT-BCN	0.425915383186	1.20568495978947
MYC	HINT-BCN	0.416266944553	1.10426834913896
NRF1	HINT-BCN	0.128305459891	1.45433417348437
POU5F1	HINT-BCN	0.869840977791	1.16185914658328
RAD21	HINT-BCN	0.316479443453	1.59644406147636
REST	HINT-BCN	0.490044216392	1.52051075780392
RFX5	HINT-BCN	0.557216721889	1.26620473652354
RXRA	HINT-BCN	0.632870878637	1.20369356688883
SIX5	HINT-BCN	0.672866028588	1.16521419143243
SP1	HINT-BCN	0.538431880244	1.3187584011174
SP2	HINT-BCN	0.494158526449	1.24981416645497
SP4	HINT-BCN	0.0596791982171	1.32713853634907
SRF	HINT-BCN	0.758712001764	1.34093077543176
TCF12	HINT-BCN	0.720877904814	1.34206673016324
USF1	HINT-BCN	0.601909079269	1.36652992604291
USF2	HINT-BCN	0.577773081932	1.17008340025313
YY1	HINT-BCN	0.635495552128	1.14742568562791
ZNF143	HINT-BCN	0.689803494665	1.16609945629532
ARID3A	HINT-BCN	0.80716421887	1.0431265092443
ATF1	HINT-BCN	0.687256109933	1.13548753848028
ATF3	HINT-BCN	0.612195738469	1.01571641206672
BACH1	HINT-BCN	0.461480034821	1.18217137593653
BHLHE40	HINT-BCN	0.563904607907	1.18176312249746
CCNT2	HINT-BCN	0.620201438553	1.05982241574776
CEBPB	HINT-BCN	0.837443979326	1.34854041059154
CTCF	HINT-BCN	0.226450856972	1.26484935622472
CTCFL	HINT-BCN	0.196114634764	1.2251001820583
E2F4	HINT-BCN	0.518568752189	1.23105095263474
E2F6	HINT-BCN	0.625726742361	1.14090706732834
EFOS	HINT-BCN	0.755693271069	1.16967991701411
EGATA	HINT-BCN	0.796900563532	1.10787790547654
EGR1	HINT-BCN	0.763513484225	1.39415409566719
EJUNB	HINT-BCN	0.69021680169	1.1812108775132
EJUND	HINT-BCN	0.737108537119	1.17587997690808
ELF1	HINT-BCN	0.308332265108	1.1143728378188
ELK1	HINT-BCN	0.455771814968	1.12595124529732
ETS1	HINT-BCN	0.585564334152	1.0302179606961
FOS	HINT-BCN	0.738568124619	1.09882554287198
FOSL1	HINT-BCN	0.752207666107	1.12561839254051
GABP	HINT-BCN	0.463500531325	1.1274107724279
GATA1	HINT-BCN	0.838360666041	1.02522254190495
GATA2	HINT-BCN	0.803147857326	1.06261948411262
IRF1	HINT-BCN	0.876927353785	1.23340699757494
JUN	HINT-BCN	0.70375016811	1.0694074183312
JUND	HINT-BCN	0.744622666669	1.1767381582845
MAFF	HINT-BCN	0.627273230589	1.309233448684
MAFK	HINT-BCN	0.607781675024	1.25839332969042
MAX	HINT-BCN	0.45307600016	1.07499493181395
MEF2A	HINT-BCN	0.817226869474	1.07494147364042
MYC	HINT-BCN	0.266216093732	1.02863681864416
NFE2	HINT-BCN	0.563238926177	1.11380129081021
NFYA	HINT-BCN	0.4442794763	1.09341841714196
NFYB	HINT-BCN	0.39409043756	1.16418774885768
NR2F2	HINT-BCN	0.592578609471	1.13938979184932
NRF1	HINT-BCN	0.358511386411	1.29181637046136
PU1	HINT-BCN	0.560204927134	1.27464811457791
RAD21	HINT-BCN	0.146943213521	1.29326968387088
REST	HINT-BCN	0.610249613624	1.31791037192843
RFX5	HINT-BCN	0.5817831067	1.13650499214084
SIX5	HINT-BCN	0.631474006345	1.0734939326853
SMC3	HINT-BCN	0.162677324475	1.21256136735228
SP1	HINT-BCN	0.431213014296	1.08387980361165
SP2	HINT-BCN	0.632100986497	1.08761169411716
SRF	HINT-BCN	0.736995307761	1.15929919898096
STAT1	HINT-BCN	0.530256300528	1.0749005335084
STAT2	HINT-BCN	0.85211703434	1.13353118204365
STAT5A	HINT-BCN	0.639081002969	1.11118646250319
TAL1	HINT-BCN	0.655570417059	1.13318170133005
THAP1	HINT-BCN	0.676301280561	1.04713857735761
TR4	HINT-BCN	0.679182194593	1.10216121534411
USF1	HINT-BCN	0.587444376029	1.17906144117422
USF2	HINT-BCN	0.526198069526	1.0529683415221
YY1	HINT-BCN	0.720753283229	1.04295856259957
ZBTB33	HINT-BCN	0.469969486229	1.29230604312715
ZBTB7A	HINT-BCN	0.905862807171	1.10060727395098
ZNF143	HINT-BCN	0.661591891414	1.08887210146347
ZNF263	HINT-BCN	0.828219568556	1.32877878125783
